"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"382","Barbara LOCHBIHLER","Germany","Group of the Greens/European Free Alliance","96728","Bündnis 90/Die Grünen"
"383","Philippe LOISEAU","France","Europe of Nations and Freedom Group","125684","Rassemblement national"
"384","Morten LØKKEGAARD","Denmark","Group of the Alliance of Liberals and Democrats for Europe","96709","Venstre, Danmarks Liberale Parti"
"385","Sander LOONES","Belgium","European Conservatives and Reformists Group","128717","Nieuw-Vlaamse Alliantie"
"386","Verónica LOPE FONTAGNÉ","Spain","Group of the European People's Party (Christian Democrats)","96765","Partido Popular"
"387","Javi LÓPEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125042","Partit dels Socialistes de Catalunya"
"388","Juan Fernando LÓPEZ AGUILAR","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96812","Partido Socialista Obrero Español"
"389","Paloma LÓPEZ BERMEJO","Spain","Confederal Group of the European United Left - Nordic Green Left","125047","Izquierda Unida"
"390","Antonio LÓPEZ-ISTÚRIZ WHITE","Spain","Group of the European People's Party (Christian Democrats)","28399","Partido Popular"
"391","Sabine LÖSING","Germany","Confederal Group of the European United Left - Nordic Green Left","96854","DIE LINKE."
"392","Bernd LUCKE","Germany","European Conservatives and Reformists Group","124820","Liberal-Conservative Refomists"
"393","Olle LUDVIGSSON","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96673","Arbetarepartiet- Socialdemokraterna"
"394","Elżbieta Katarzyna ŁUKACIJEWSKA","Poland","Group of the European People's Party (Christian Democrats)","96791","Platforma Obywatelska"
"395","Peter LUNDGREN","Sweden","Europe of Freedom and Direct Democracy Group","124996","Sverigedemokraterna"
"396","Krystyna ŁYBACKA","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124883","Sojusz Lewicy Demokratycznej"
"397","David McALLISTER","Germany","Group of the European People's Party (Christian Democrats)","124806","Christlich Demokratische Union Deutschlands"
"398","Linda McAVAN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","2327","Labour Party"
"399","Emma McCLARKIN","United Kingdom","European Conservatives and Reformists Group","96919","Conservative Party"
"400","Mairead McGUINNESS","Ireland","Group of the European People's Party (Christian Democrats)","28115","Fine Gael Party"
"401","Anthea McINTYRE","United Kingdom","European Conservatives and Reformists Group","111011","Conservative Party"
"402","Monica MACOVEI","Romania","European Conservatives and Reformists Group","96824","Independent"
"403","Ivana MALETIĆ","Croatia","Group of the European People's Party (Christian Democrats)","119436","Hrvatska demokratska zajednica"
"404","Svetoslav Hristov MALINOV","Bulgaria","Group of the European People's Party (Christian Democrats)","111027","Democrats for Strong Bulgaria"
"405","Curzio MALTESE","Italy","Confederal Group of the European United Left - Nordic Green Left","125192","Lista Tsipras-L'Altra Europa"
"406","Andrejs MAMIKINS","Latvia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124746","""Saskaņa"" sociāldemokrātiskā partija"
"407","Lukas MANDL","Austria","Group of the European People's Party (Christian Democrats)","190713","Österreichische Volkspartei"
"408","Ramona Nicole MĂNESCU","Romania","Group of the European People's Party (Christian Democrats)","39717","-"
"409","Vladimír MAŇKA","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28192","SMER-Sociálna demokracia"
"410","Thomas MANN","Germany","Group of the European People's Party (Christian Democrats)","1922","Christlich Demokratische Union Deutschlands"
"411","Louis-Joseph MANSCOUR","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124725","Parti socialiste"
"412","Florent MARCELLESI","Spain","Group of the Greens/European Free Alliance","26146","EQUO"
"413","Notis MARIAS","Greece","European Conservatives and Reformists Group","125069","Greece-The Alternative Road"
"414","Marian-Jean MARINESCU","Romania","Group of the European People's Party (Christian Democrats)","33982","Partidul Naţional Liberal"
"415","António MARINHO E PINTO","Portugal","Group of the Alliance of Liberals and Democrats for Europe","124742","Partido Democrático Republicano"
"416","David MARTIN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","1403","Labour Party"
"417","Dominique MARTIN","France","Europe of Nations and Freedom Group","124751","Rassemblement national"
"418","Edouard MARTIN","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124947","Parti socialiste"
"419","Fulvio MARTUSCIELLO","Italy","Group of the European People's Party (Christian Democrats)","124828","Forza Italia"
"420","Michał MARUSIK","Poland","Europe of Nations and Freedom Group","124894","Kongres Nowej Prawicy"
"421","Jiří MAŠTÁLKA","Czech Republic","Confederal Group of the European United Left - Nordic Green Left","23704","Komunistická strana Čech a Moravy"
"422","Barbara MATERA","Italy","Group of the European People's Party (Christian Democrats)","96813","Forza Italia"
"423","Marisa MATIAS","Portugal","Confederal Group of the European United Left - Nordic Green Left","96820","Bloco de Esquerda"
"424","Gabriel MATO","Spain","Group of the European People's Party (Christian Democrats)","96936","Partido Popular"
"425","Rupert MATTHEWS","United Kingdom","European Conservatives and Reformists Group","188622","Conservative Party"
"426","Stefano MAULLU","Italy","Group of the European People's Party (Christian Democrats)","133326","Forza Italia"
"427","Emmanuel MAUREL","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","24505","Parti socialiste"
"428","Costas MAVRIDES","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124691","Democratic Party"
"429","Eva MAYDELL","Bulgaria","Group of the European People's Party (Christian Democrats)","98341","Citizens for European Development of Bulgaria"
"430","Georg MAYER","Austria","Europe of Nations and Freedom Group","38511","Freiheitliche Partei Österreichs"
"431","Alex MAYER","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","185637","Labour Party"
"432","Valentinas MAZURONIS","Lithuania","Group of the Alliance of Liberals and Democrats for Europe","124768","Independent"
"433","Gesine MEISSNER","Germany","Group of the Alliance of Liberals and Democrats for Europe","96870","Freie Demokratische Partei"
"434","Joëlle MÉLIN","France","Europe of Nations and Freedom Group","124765","Rassemblement national"
"435","Susanne MELIOR","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124838","Sozialdemokratische Partei Deutschlands"
"436","Nuno MELO","Portugal","Group of the European People's Party (Christian Democrats)","96978","Partido Popular"
"437","Morten MESSERSCHMIDT","Denmark","European Conservatives and Reformists Group","96663","Dansk Folkeparti"
"438","Tamás MESZERICS","Hungary","Group of the Greens/European Free Alliance","124720","Lehet Más A Politika"
"439","Roberta METSOLA","Malta","Group of the European People's Party (Christian Democrats)","118859","Partit Nazzjonalista"
"440","Jörg MEUTHEN","Germany","Europe of Freedom and Direct Democracy Group","190518","Alternative für Deutschland"
"441","Louis MICHEL","Belgium","Group of the Alliance of Liberals and Democrats for Europe","96670","Mouvement Réformateur"
"442","Martina MICHELS","Germany","Confederal Group of the European United Left - Nordic Green Left","120478","DIE LINKE."
"443","Iskra MIHAYLOVA","Bulgaria","Group of the Alliance of Liberals and Democrats for Europe","125128","Movement for Rights and Freedoms"
"444","Miroslav MIKOLÁŠIK","Slovakia","Group of the European People's Party (Christian Democrats)","28178","Kresťanskodemokratické hnutie"
"445","Francisco José MILLÁN MON","Spain","Group of the European People's Party (Christian Democrats)","28400","Partido Popular"
"446","Matthijs van MILTENBURG","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","125022","Democraten 66"
"447","Anne-Marie MINEUR","Netherlands","Confederal Group of the European United Left - Nordic Green Left","125037","Socialistische Partij"
"448","Ana MIRANDA","Spain","Group of the Greens/European Free Alliance","24942","Bloque Nacionalista Galego"
"449","Miroslavs MITROFANOVS","Latvia","Group of the Greens/European Free Alliance","191695","Latvijas Krievu savienība"
"450","Marlene MIZZI","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","118858","Partit Laburista"
"451","Angelika MLINAR","Austria","Group of the Alliance of Liberals and Democrats for Europe","125026","NEOS – Das Neue Österreich"
"452","Baroness Nosheena MOBARIK","United Kingdom","European Conservatives and Reformists Group","189391","Conservative Party"
"453","Giulia MOI","Italy","Europe of Freedom and Direct Democracy Group","124859","Movimento 5 Stelle"
"454","Sorin MOISĂ","Romania","Group of the European People's Party (Christian Democrats)","124789","Independent"
"455","Csaba MOLNÁR","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124722","Demokratikus Koalíció"
"456","Bernard MONOT","France","Europe of Freedom and Direct Democracy Group","124761","Debout la France"
"457","Cláudia MONTEIRO DE AGUIAR","Portugal","Group of the European People's Party (Christian Democrats)","124734","Partido Social Democrata"
"458","Sophie MONTEL","France","Europe of Freedom and Direct Democracy Group","124769","Les Patriotes"
"459","Clare MOODY","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124944","Labour Party"
"460","Claude MORAES","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4519","Labour Party"
"461","Nadine MORANO","France","Group of the European People's Party (Christian Democrats)","72779","Les Républicains"
"462","Luigi MORGANO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124788","Partito Democratico"
"463","Elisabeth MORIN-CHARTIER","France","Group of the European People's Party (Christian Democrats)","38596","Indépendant"
"464","Krisztina MORVAI","Hungary","Non-attached Members","96661","-"
"465","Alessia Maria MOSCA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124868","Partito Democratico"
"466","Ulrike MÜLLER","Germany","Group of the Alliance of Liberals and Democrats for Europe","124862","Freie Wähler"
"467","Siegfried MUREŞAN","Romania","Group of the European People's Party (Christian Democrats)","124802","Partidul Naţional Liberal"
"468","Renaud MUSELIER","France","Group of the European People's Party (Christian Democrats)","124729","Les Républicains"
"469","Alessandra MUSSOLINI","Italy","Group of the European People's Party (Christian Democrats)","28429","Forza Italia"
"470","Caroline NAGTEGAAL","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","190519","Volkspartij voor Vrijheid en Democratie"
"471","József NAGY","Slovakia","Group of the European People's Party (Christian Democrats)","124926","MOST - HÍD"
"472","Javier NART","Spain","Group of the Alliance of Liberals and Democrats for Europe","125005","Ciudadanos – Partido de la Ciudadanía"
"473","Momchil NEKOV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125013","Bulgarian Socialist Party"
"474","Norbert NEUSER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96844","Sozialdemokratische Partei Deutschlands"
"475","Dan NICA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124784","Partidul Social Democrat"
"476","James NICHOLSON","United Kingdom","European Conservatives and Reformists Group","1318","Ulster Unionist Party"
"477","Norica NICOLAI","Romania","Group of the Alliance of Liberals and Democrats for Europe","96825","ALDE Romania"
"478","Angelika NIEBLER","Germany","Group of the European People's Party (Christian Democrats)","4289","Christlich-Soziale Union in Bayern e.V."
"479","Luděk NIEDERMAYER","Czech Republic","Group of the European People's Party (Christian Democrats)","124701","TOP 09 a Starostové"
"480","Péter NIEDERMÜLLER","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124723","Demokratikus Koalíció"
"481","Liadh NÍ RIADA","Ireland","Confederal Group of the European United Left - Nordic Green Left","124987","Sinn Féin"
"482","Lambert van NISTELROOIJ","Netherlands","Group of the European People's Party (Christian Democrats)","28165","Christen Democratisch Appèl"
"483","Maria NOICHL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124836","Sozialdemokratische Partei Deutschlands"
"484","Andrey NOVAKOV","Bulgaria","Group of the European People's Party (Christian Democrats)","107212","Citizens for European Development of Bulgaria"
"485","Paul NUTTALL","United Kingdom","Europe of Freedom and Direct Democracy Group","96805","United Kingdom Independence Party"
"486","Franz OBERMAYR","Austria","Europe of Nations and Freedom Group","96981","Freiheitliche Partei Österreichs"
"487","Patrick O'FLYNN","United Kingdom","Europe of Freedom and Direct Democracy Group","124940","United Kingdom Independence Party"
"488","Jan OLBRYCHT","Poland","Group of the European People's Party (Christian Democrats)","28288","Platforma Obywatelska"
"489","Younous OMARJEE","France","Confederal Group of the European United Left - Nordic Green Left","30482","L'union pour les Outremer"
"490","Stanisław OŻÓG","Poland","European Conservatives and Reformists Group","124897","Prawo i Sprawiedliwość"
"491","Artis PABRIKS","Latvia","Group of the European People's Party (Christian Democrats)","124743","Partija ""VIENOTĪBA"""
"492","Ivari PADAR","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","97025","Sotsiaaldemokraatlik Erakond"
"493","Urmas PAET","Estonia","Group of the Alliance of Liberals and Democrats for Europe","129073","Eesti Reformierakond"
"494","Maite PAGAZAURTUNDÚA RUIZ","Spain","Group of the Alliance of Liberals and Democrats for Europe","125038","Unión, Progreso y Democracia"
"495","Rolandas PAKSAS","Lithuania","Europe of Freedom and Direct Democracy Group","96694","Partija Tvarka ir teisingumas"
"496","Rory PALMER","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","190099","Labour Party"
"497","Pier Antonio PANZERI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28365","Articolo UNO – Movimento Democratico e Progressista"
"498","Massimo PAOLUCCI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124849","Articolo UNO – Movimento Democratico e Progressista"
"499","Demetris PAPADAKIS","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124692","Movement for Social Democracy EDEK"
"500","Konstantinos PAPADAKIS","Greece","Non-attached Members","125093","Communist Party of Greece"
"501","Dimitrios PAPADIMOULIS","Greece","Confederal Group of the European United Left - Nordic Green Left","28586","Coalition of the Radical Left"
"502","Gilles PARGNEAUX","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96948","Parti socialiste"
"503","Margot PARKER","United Kingdom","Europe of Freedom and Direct Democracy Group","124945","United Kingdom Independence Party"
"504","Ioan Mircea PAŞCU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","33984","Partidul Social Democrat"
"505","Aldo PATRICIELLO","Italy","Group of the European People's Party (Christian Democrats)","36392","Forza Italia"
"506","Emilian PAVEL","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","129256","Partidul Social Democrat"
"507","Jiří PAYNE","Czech Republic","Europe of Freedom and Direct Democracy Group","189507","Strana svobodných občanů"
"508","Piernicola PEDICINI","Italy","Europe of Freedom and Direct Democracy Group","124844","Movimento 5 Stelle"
"509","Vincent PEILLON","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28166","Parti socialiste"
"510","Alojz PETERLE","Slovenia","Group of the European People's Party (Christian Democrats)","23693","Nova Slovenija – Krščanski demokrati"
"511","Morten Helveg PETERSEN","Denmark","Group of the Alliance of Liberals and Democrats for Europe","124872","Det Radikale Venstre"
"512","Marijana PETIR","Croatia","Group of the European People's Party (Christian Democrats)","124749","Independent"
"513","Florian PHILIPPOT","France","Europe of Freedom and Direct Democracy Group","110977","Les Patriotes"
"514","Pina PICIERNO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124846","Partito Democratico"
"515","Tonino PICULA","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","112744","Socijaldemokratska partija Hrvatske"
"516","Bolesław G. PIECHA","Poland","European Conservatives and Reformists Group","124874","Prawo i Sprawiedliwość"
"517","Markus PIEPER","Germany","Group of the European People's Party (Christian Democrats)","28224","Christlich Demokratische Union Deutschlands"
"518","Sirpa PIETIKÄINEN","Finland","Group of the European People's Party (Christian Democrats)","40599","Kansallinen Kokoomus"
"519","João PIMENTA LOPES","Portugal","Confederal Group of the European United Left - Nordic Green Left","136236","Partido Comunista Português"
"520","Mirosław PIOTROWSKI","Poland","European Conservatives and Reformists Group","28341","Niezależny"
"521","Kati PIRI","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","37229","Partij van de Arbeid"
"522","Georgi PIRINSKI","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124855","Bulgarian Socialist Party"
"523","Julia PITERA","Poland","Group of the European People's Party (Christian Democrats)","124898","Platforma Obywatelska"
"524","Marek PLURA","Poland","Group of the European People's Party (Christian Democrats)","124881","Platforma Obywatelska"
"525","Pavel POC","Czech Republic","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96715","Česká strana sociálně demokratická"
"526","Miroslav POCHE","Czech Republic","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124699","Česká strana sociálně demokratická"
"527","Salvatore Domenico POGLIESE","Italy","Group of the European People's Party (Christian Democrats)","124853","Forza Italia"
"528","Stanislav POLČÁK","Czech Republic","Group of the European People's Party (Christian Democrats)","124704","Starostové a nezávisli"
"529","Maurice PONGA","France","Group of the European People's Party (Christian Democrats)","96931","Les Républicains"
"530","Răzvan POPA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","189490","Partidul Social Democrat"
"531","Tomasz Piotr PORĘBA","Poland","European Conservatives and Reformists Group","96801","Prawo i Sprawiedliwość"
"532","Jiří POSPÍŠIL","Czech Republic","Group of the European People's Party (Christian Democrats)","125706","TOP 09 a Starostové"
"533","Soraya POST","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124997","Feministiskt initiativ"
"534","Cristian Dan PREDA","Romania","Group of the European People's Party (Christian Democrats)","96838","Independent"
"535","Marcus PRETZELL","Germany","Europe of Nations and Freedom Group","124830","Die blaue Partei"
"536","Gabriele PREUSS","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124888","Sozialdemokratische Partei Deutschlands"
"537","John PROCTER","United Kingdom","European Conservatives and Reformists Group","185628","Conservative Party"
"538","Franck PROUST","France","Group of the European People's Party (Christian Democrats)","108080","Les Républicains"
"539","Carolina PUNSET","Spain","Group of the Alliance of Liberals and Democrats for Europe","90110","Ciudadanos – Partido de la Ciudadanía"
"540","Godelieve QUISTHOUDT-ROWOHL","Germany","Group of the European People's Party (Christian Democrats)","1055","Christlich Demokratische Union Deutschlands"
"541","Emil RADEV","Bulgaria","Group of the European People's Party (Christian Democrats)","124850","Citizens for European Development of Bulgaria"
"542","Jozo RADOŠ","Croatia","Group of the Alliance of Liberals and Democrats for Europe","112753","Građansko-liberalni savez"
"543","Dennis RADTKE","Germany","Group of the European People's Party (Christian Democrats)","188945","Christlich Demokratische Union Deutschlands"
"544","Paulo RANGEL","Portugal","Group of the European People's Party (Christian Democrats)","96903","Partido Social Democrata"
"545","Laurenţiu REBEGA","Romania","European Conservatives and Reformists Group","124792","Independent"
"546","Julia REDA","Germany","Group of the Greens/European Free Alliance","124816","Piratenpartei Deutschland"
"547","Viviane REDING","Luxembourg","Group of the European People's Party (Christian Democrats)","1185","Parti chrétien social luxembourgeois"
"548","Evelyn REGNER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96998","Sozialdemokratische Partei Österreichs"
"549","Julia REID","United Kingdom","Europe of Freedom and Direct Democracy Group","106202","United Kingdom Independence Party"
"550","Michel REIMON","Austria","Group of the Greens/European Free Alliance","124935","Die Grünen - Die Grüne Alternative"
"551","Terry REINTKE","Germany","Group of the Greens/European Free Alliance","103381","Bündnis 90/Die Grünen"
"552","Christine REVAULT D'ALLONNES BONNEFOY","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124287","Parti socialiste"
"553","Sofia RIBEIRO","Portugal","Group of the European People's Party (Christian Democrats)","124733","Partido Social Democrata"
"554","Frédérique RIES","Belgium","Group of the Alliance of Liberals and Democrats for Europe","4253","Mouvement Réformateur"
"555","Dominique RIQUET","France","Group of the Alliance of Liberals and Democrats for Europe","96885","Mouvement Radical Social-Libéral"
"556","Michèle RIVASI","France","Group of the Greens/European Free Alliance","96743","Europe Écologie"
"557","Robert ROCHEFORT","France","Group of the Alliance of Liberals and Democrats for Europe","97022","Mouvement Démocrate"
"558","Liliana RODRIGUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125099","Partido Socialista"
"559","Maria João RODRIGUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124737","Partido Socialista"
"560","Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125043","Partido Socialista Obrero Español"
"561","Ulrike RODUST","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","93624","Sozialdemokratische Partei Deutschlands"
"562","Jens ROHDE","Denmark","Group of the Alliance of Liberals and Democrats for Europe","96710","Det Radikale Venstre"
"563","Claude ROLIN","Belgium","Group of the European People's Party (Christian Democrats)","125107","Centre Démocrate Humaniste"
"564","Bronis ROPĖ","Lithuania","Group of the Greens/European Free Alliance","125214","Lietuvos valstiečių ir žaliųjų sąjunga"
"565","Dariusz ROSATI","Poland","Group of the European People's Party (Christian Democrats)","28394","Platforma Obywatelska"
"566","Virginie ROZIÈRE","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","103845","Les radicaux de Gauche"
"567","Fernando RUAS","Portugal","Group of the European People's Party (Christian Democrats)","124730","Partido Social Democrata"
"568","Paul RÜBIG","Austria","Group of the European People's Party (Christian Democrats)","2278","Österreichische Volkspartei"
"569","Pirkko RUOHONEN-LERNER","Finland","European Conservatives and Reformists Group","132366","Perussuomalaiset"
"570","Tokia SAÏFI","France","Group of the European People's Party (Christian Democrats)","4345","Agir - La Droite constructive"
"571","Sofia SAKORAFA","Greece","Confederal Group of the European United Left - Nordic Green Left","125091","Independent"
"572","José Ignacio SALAFRANCA SÁNCHEZ-NEYRA","Spain","Group of the European People's Party (Christian Democrats)","2002","Partido Popular"
"573","Massimiliano SALINI","Italy","Group of the European People's Party (Christian Democrats)","125670","Forza Italia"
"574","Lola SÁNCHEZ CALDENTEY","Spain","Confederal Group of the European United Left - Nordic Green Left","125035","PODEMOS"
"575","Anne SANDER","France","Group of the European People's Party (Christian Democrats)","24594","Les Républicains"
"576","Alfred SANT","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124781","Partit Laburista"
"577","Manuel dos SANTOS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","21918","Partido Socialista"
"578","Daciana Octavia SÂRBU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","33989","Partidul Social Democrat"
"579","Judith SARGENTINI","Netherlands","Group of the Greens/European Free Alliance","96815","GroenLinks"
"580","Petri SARVAMAA","Finland","Group of the European People's Party (Christian Democrats)","112611","Kansallinen Kokoomus"
"581","Jacek SARYUSZ-WOLSKI","Poland","Non-attached Members","28297","Bezpartyjny"
"582","David-Maria SASSOLI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96864","Partito Democratico"
"583","Algirdas SAUDARGAS","Lithuania","Group of the European People's Party (Christian Democrats)","96696","Tėvynės sąjunga-Lietuvos krikščionys demokratai"
"584","Marietje SCHAAKE","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","96945","Democraten 66"
"585","Jean-Luc SCHAFFHAUSER","France","Europe of Nations and Freedom Group","124755","Rassemblement bleu Marine"
"586","Christel SCHALDEMOSE","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","37312","Socialdemokratiet"
"587","Martin SCHIRDEWAN","Germany","Confederal Group of the European United Left - Nordic Green Left","190517","DIE LINKE."
"588","Elly SCHLEIN","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124804","-"
"589","Claudia SCHMIDT","Austria","Group of the European People's Party (Christian Democrats)","125016","Österreichische Volkspartei"
"590","Helmut SCHOLZ","Germany","Confederal Group of the European United Left - Nordic Green Left","96646","DIE LINKE."
"591","György SCHÖPFLIN","Hungary","Group of the European People's Party (Christian Democrats)","28135","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"592","Annie SCHREIJER-PIERIK","Netherlands","Group of the European People's Party (Christian Democrats)","125030","Christen Democratisch Appèl"
"593","Sven SCHULZE","Germany","Group of the European People's Party (Christian Democrats)","124809","Christlich Demokratische Union Deutschlands"
"594","Joachim SCHUSTER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124837","Sozialdemokratische Partei Deutschlands"
"595","Andreas SCHWAB","Germany","Group of the European People's Party (Christian Democrats)","28223","Christlich Demokratische Union Deutschlands"
"596","Giancarlo SCOTTA'","Italy","Europe of Nations and Freedom Group","96996","Lega Nord"
"597","Molly SCOTT CATO","United Kingdom","Group of the Greens/European Free Alliance","124942","Green Party"
"598","Olga SEHNALOVÁ","Czech Republic","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96718","Česká strana sociálně demokratická"
"599","Jasenko SELIMOVIC","Sweden","Group of the Alliance of Liberals and Democrats for Europe","134243","Liberalerna"
"600","Maria Lidia SENRA RODRÍGUEZ","Spain","Confederal Group of the European United Left - Nordic Green Left","125049","Alternativa galega de esquerda en Europa"
"601","Remo SERNAGIOTTO","Italy","European Conservatives and Reformists Group","124794","Conservatori e Riformisti"
"602","Ricardo SERRÃO SANTOS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124741","Partido Socialista"
"603","Jill SEYMOUR","United Kingdom","Europe of Freedom and Direct Democracy Group","124950","United Kingdom Independence Party"
"604","Czesław Adam SIEKIERSKI","Poland","Group of the European People's Party (Christian Democrats)","23787","Polskie Stronnictwo Ludowe"
"605","Pedro SILVA PEREIRA","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124747","Partido Socialista"
"606","Peter SIMON","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96836","Sozialdemokratische Partei Deutschlands"
"607","Siôn SIMON","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124948","Labour Party"
"608","Birgit SIPPEL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96932","Sozialdemokratische Partei Deutschlands"
"609","Branislav ŠKRIPEK","Slovakia","European Conservatives and Reformists Group","124927","OBYČAJNÍ ĽUDIA"
"610","Davor ŠKRLEC","Croatia","Group of the Greens/European Free Alliance","124756","Independent"
"611","Alyn SMITH","United Kingdom","Group of the Greens/European Free Alliance","28508","Scottish National Party"
"612","Monika SMOLKOVÁ","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96655","SMER-Sociálna demokracia"
"613","Csaba SÓGOR","Romania","Group of the European People's Party (Christian Democrats)","39724","Uniunea Democrată Maghiară din România"
"614","Michaela ŠOJDROVÁ","Czech Republic","Group of the European People's Party (Christian Democrats)","124710","Křesťanská a demokratická unie - Československá strana lidová"
"615","Jordi SOLÉ","Spain","Group of the Greens/European Free Alliance","185974","Esquerra Republicana de Catalunya"
"616","Igor ŠOLTES","Slovenia","Group of the Greens/European Free Alliance","125003","Lista dr. Igorja Šoltesa"
"617","Renate SOMMER","Germany","Group of the European People's Party (Christian Democrats)","4282","Christlich Demokratische Union Deutschlands"
"618","Martin SONNEBORN","Germany","Non-attached Members","124834","Die PARTEI"
"619","Renato SORU","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124860","Partito Democratico"
"620","Dobromir SOŚNIERZ","Poland","Non-attached Members","192298","Wolność"
"621","Barbara SPINELLI","Italy","Confederal Group of the European United Left - Nordic Green Left","124810","Independent"
"622","Maria SPYRAKI","Greece","Group of the European People's Party (Christian Democrats)","125064","Nea Demokratia"
"623","Bart STAES","Belgium","Group of the Greens/European Free Alliance","4751","Groen"
"624","Sergei STANISHEV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124852","Bulgarian Socialist Party"
"625","Joachim STARBATTY","Germany","European Conservatives and Reformists Group","124827","Liberal-Conservative Refomists"
"626","Ivan ŠTEFANEC","Slovakia","Group of the European People's Party (Christian Democrats)","124929","Kresťanskodemokratické hnutie"
