"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"218","Gerben-Jan GERBRANDY","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","96940","Democraten 66"
"219","Arne GERICKE","Germany","European Conservatives and Reformists Group","124815","Freie Wähler"
"220","Lidia Joanna GERINGER de OEDENBERG","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28377","Bezpartyjna"
"221","Sven GIEGOLD","Germany","Group of the Greens/European Free Alliance","96730","Bündnis 90/Die Grünen"
"222","Adam GIEREK","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28379","Unia Pracy"
"223","Jens GIESEKE","Germany","Group of the European People's Party (Christian Democrats)","124807","Christlich Demokratische Union Deutschlands"
"224","Neena GILL","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4533","Labour Party"
"225","Nathan GILL","United Kingdom","Europe of Freedom and Direct Democracy Group","124965","United Kingdom Independence Party"
"226","María Teresa GIMÉNEZ BARBAT","Spain","Group of the Alliance of Liberals and Democrats for Europe","135491","-"
"227","Julie GIRLING","United Kingdom","Group of the European People's Party (Christian Democrats)","96956","Conservative Party"
"228","Michela GIUFFRIDA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124864","Partito Democratico"
"229","Karine GLOANEC MAURIN","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","193080","Parti socialiste"
"230","Sylvie GODDYN","France","Europe of Nations and Freedom Group","21331","Rassemblement national"
"231","Charles GOERENS","Luxembourg","Group of the Alliance of Liberals and Democrats for Europe","840","Parti démocratique"
"232","Bruno GOLLNISCH","France","Non-attached Members","1164","Front national"
"233","Ana GOMES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28306","Partido Socialista"
"234","Tania GONZÁLEZ PEÑAS","Spain","Confederal Group of the European United Left - Nordic Green Left","127330","PODEMOS"
"235","Esteban GONZÁLEZ PONS","Spain","Group of the European People's Party (Christian Democrats)","125027","Partido Popular"
"236","Beata GOSIEWSKA","Poland","European Conservatives and Reformists Group","124900","Prawo i Sprawiedliwość"
"237","Marcel de GRAAFF","Netherlands","Europe of Nations and Freedom Group","125025","Partij voor de Vrijheid"
"238","Giorgos GRAMMATIKAKIS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125112","The River"
"239","Luis de GRANDES PASCUAL","Spain","Group of the European People's Party (Christian Democrats)","28393","Partido Popular"
