Estadística de Migraciones
Resultados nacionales
Flujo de emigración con destino al extranjero por año, sexo, grupo de edad, país de destino, nacionalidad (española/extranjera) y país de nacimiento en relación con el país de destino
Unidades: Movimientos migratorios

,0 a 4 años,5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 y más años,
2016S1 (provisional),
    Hombres,
        Española,
            España,
                Total,1270.0,1784.0,1159.0,371.0,592.0,2090.0,2572.0,1846.0,1570.0,906.0,620.0,367.0,289.0,270.0,160.0,104.0,76.0,32.0,13.0,2.0,0.0,
            El mismo de procedencia,
                Total,84.0,71.0,179.0,425.0,394.0,334.0,442.0,498.0,538.0,386.0,331.0,199.0,128.0,119.0,53.0,36.0,15.0,5.0,1.0,0.0,0.0,
            Otros,
                Total,16.0,78.0,141.0,263.0,311.0,379.0,490.0,690.0,861.0,720.0,463.0,193.0,63.0,35.0,20.0,6.0,6.0,1.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,1532.0,1258.0,309.0,47.0,17.0,13.0,5.0,20.0,12.0,5.0,4.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
            El mismo de procedencia,
                Total,329.0,744.0,1258.0,1802.0,3367.0,5934.0,6687.0,7044.0,5547.0,4213.0,2659.0,2118.0,1356.0,1033.0,372.0,158.0,93.0,24.0,13.0,0.0,0.0,
            Otros,
                Total,100.0,192.0,253.0,415.0,913.0,1823.0,2157.0,2510.0,1761.0,1201.0,687.0,494.0,279.0,157.0,30.0,14.0,11.0,3.0,0.0,0.0,0.0,
    Mujeres,
        Española,
            España,
                Total,1136.0,1737.0,1119.0,376.0,813.0,2415.0,2352.0,1339.0,1096.0,536.0,367.0,177.0,160.0,159.0,131.0,101.0,95.0,59.0,21.0,7.0,0.0,
            El mismo de procedencia,
                Total,84.0,70.0,161.0,415.0,434.0,393.0,540.0,558.0,511.0,384.0,359.0,277.0,197.0,159.0,82.0,43.0,26.0,7.0,3.0,1.0,0.0,
            Otros,
                Total,24.0,76.0,132.0,241.0,338.0,485.0,599.0,582.0,546.0,358.0,211.0,100.0,54.0,31.0,19.0,12.0,5.0,3.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,1427.0,1497.0,381.0,79.0,23.0,9.0,10.0,5.0,4.0,6.0,2.0,3.0,1.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,
            El mismo de procedencia,
                Total,300.0,669.0,1064.0,1559.0,3268.0,5273.0,5011.0,3999.0,2996.0,2521.0,1797.0,1620.0,1412.0,1169.0,349.0,137.0,58.0,29.0,11.0,6.0,0.0,
            Otros,
                Total,80.0,194.0,267.0,401.0,988.0,1651.0,1820.0,1420.0,1017.0,757.0,523.0,370.0,302.0,210.0,45.0,13.0,7.0,3.0,0.0,0.0,0.0,
2015,
    Hombres,
        Española,
            España,
